,date,plate,outcome
127761,2014-08-08,ACERY,accepted
129084,2014-08-22,SCNICRT,accepted
38811,2011-09-16,2DSIRE,accepted
11298,2011-02-05,2BLVD,accepted
66514,2012-07-03,FEEN3Y,accepted
96338,2013-07-13,MOOSAR,accepted
103184,2013-10-08,HOMECLUB,accepted
30404,2011-06-22,HERVET2,accepted
70670,2012-08-21,ALILEX,accepted
83073,2013-02-23,NOODLE12,accepted
100610,2013-09-05,EN4SLAW,accepted
107393,2013-12-10,LIVFREE,accepted
106972,2013-12-04,NYRWIN,accepted
73014,2012-09-21,BEELUVR,accepted
118014,2014-04-25,MYSIXTY6,accepted
95070,2013-06-27,1FINEDAY,accepted
131861,2014-09-25,5COOBY,accepted
83308,2013-02-27,69STANG,accepted
19451,2011-04-02,64FF72,accepted
12431,2011-02-18,1PICK,accepted
18144,2011-03-26,STORM227,accepted
30427,2011-06-22,007GUMBY,accepted
53799,2012-03-09,LIVRE,accepted
21782,2011-04-15,WHR2NXT,accepted
62720,2012-05-22,TRKMEC,accepted
54575,2012-03-14,KART14,accepted
38959,2011-09-17,BOFAN1,accepted
14372,2011-03-08,93FZ30,accepted
42604,2011-10-28,FEFE1201,accepted
122834,2014-06-13,MADMAX99,accepted
106449,2013-11-23,LIVECHIC,accepted
54646,2012-03-15,45CA03,accepted
118748,2014-05-02,8TURBO7,accepted
119809,2014-05-14,13FH27,accepted
48300,2012-01-12,CME2INSR,accepted
94930,2013-06-26,CHRYS06,accepted
86541,2013-03-30,EHSAAN,accepted
52781,2012-02-29,ITAIKO,accepted
118293,2014-04-29,BIGBRUCE,accepted
70798,2012-08-22,CGAJ700,accepted
120044,2014-05-16,AITHON,accepted
89042,2013-04-24,YERFEJ,accepted
40550,2011-10-05,STAR1889,accepted
32976,2011-07-19,GAILNDEN,accepted
66323,2012-06-29,DISHDR55,accepted
23024,2011-04-23,JACKLEXI,accepted
70690,2012-08-21,BENKBILR,accepted
38509,2011-09-13,MBCB,accepted
66100,2012-06-27,C1PROD1,accepted
63598,2012-05-31,VG110,accepted
42042,2011-10-21,LUCNJUST,accepted
39317,2011-09-21,1973RS,accepted
66739,2012-07-04,HB1,accepted
127652,2014-08-07,CRT72,accepted
8655,2011-01-05,BING308,accepted
10348,2011-01-26,PRESCI,accepted
37863,2011-09-03,SLAIR,accepted
85599,2013-03-22,WW5333,accepted
80392,2013-01-16,1960MGA,accepted
42666,2011-10-28,PADDON5,accepted
379,2010-10-05,TK1,accepted
105916,2013-11-16,ASHH,accepted
90705,2013-05-10,APRIL1,accepted
64120,2012-06-06,CHUKNOW,accepted
113274,2014-03-14,05NAJAH7,accepted
47741,2012-01-05,WELDON,accepted
118273,2014-04-29,STANCED7,accepted
60055,2012-04-27,SPLTNDOB,accepted
112042,2014-03-01,RUBY1210,accepted
52887,2012-02-29,JN95,accepted
129349,2014-08-26,MACGUY,accepted
122924,2014-06-14,UNNIVAI,accepted
43323,2011-11-05,LUPEB,accepted
69071,2012-08-01,JOANIE7,accepted
2258,2010-10-21,H1LILLY,accepted
59031,2012-04-18,MY61CADY,accepted
64708,2012-06-12,YAP1688,accepted
30905,2011-06-28,ADANA01,accepted
122917,2014-06-14,BMMRLUVR,accepted
126317,2014-07-22,RMC5,accepted
91027,2013-05-14,FISHGUY4,accepted
1292,2010-10-13,CHEDDER,accepted
108206,2013-12-25,MOMSVRSA,accepted
123341,2014-06-19,FLY4UDEB,accepted
22261,2011-04-19,DUMPTRKS,accepted
94115,2013-06-18,BLUEKEY,accepted
117612,2014-04-22,SPDRAC,accepted
38215,2011-09-08,HOMELES2,accepted
92770,2013-06-01,EOM1826,accepted
124327,2014-06-28,NOTRQ,accepted
85436,2013-03-20,SANT1NI,accepted
125632,2014-07-15,LOLMIATA,accepted
21457,2011-04-14,SHUVELLE,accepted
57270,2012-04-03,51ROLLS,accepted
33132,2011-07-20,BKYDPJT,accepted
101088,2013-09-11,JCM8,accepted
100163,2013-08-29,BRKNGBAD,accepted
42485,2011-10-27,ACEMPIRE,accepted
2997,2010-10-27,SANCHEZ1,accepted
30372,2011-06-22,ALLVETTE,accepted
31349,2011-07-01,VOH5906,accepted
24810,2011-05-06,BOJC,accepted
12524,2011-02-18,REBECCAS,accepted
18029,2011-03-26,47GW22,accepted
29635,2011-06-15,B1GMAMA,accepted
123249,2014-06-18,DINGERS,accepted
66690,2012-07-04,FRESH7,accepted
119644,2014-05-10,POOKOO,accepted
104136,2013-10-22,E85GTR,accepted
48501,2012-01-14,2762AA,accepted
19814,2011-04-05,EWNEKAMA,accepted
73379,2012-09-26,CFLOROS,accepted
68449,2012-07-25,WILDMTN,accepted
94574,2013-06-22,RAGS13,accepted
12896,2011-02-24,SINGER1,accepted
78196,2012-12-11,TAPPY,accepted
8641,2011-01-05,AERSMITH,accepted
41622,2011-10-18,KIA19,accepted
99883,2013-08-24,7RTR,accepted
85988,2013-03-26,LASTC6GS,accepted
131330,2014-09-18,LIVLIJ,accepted
79755,2013-01-08,TALL1,accepted
47816,2012-01-06,BEVINI,accepted
82202,2013-02-13,WYN,accepted
39258,2011-09-21,REVJAY,accepted
15825,2011-03-15,WINING,accepted
29531,2011-06-14,ORGKRUSH,accepted
62625,2012-05-19,DIANARAE,accepted
68740,2012-07-28,HOGLFE,accepted
74458,2012-10-10,MAGG1E2,accepted
34260,2011-07-30,JOHNW,accepted
42626,2011-10-28,HUI3388,accepted
70849,2012-08-23,INCTRL,accepted
59408,2012-04-21,KM,accepted
45852,2011-12-09,JPAYNE,accepted
1391,2010-10-14,LJBVNV,accepted
102158,2013-09-24,OFF2VNUS,accepted
49396,2012-01-26,KEVIN20,accepted
50203,2012-02-04,VALNIVY,accepted
81839,2013-02-08,N2BGR,accepted
87831,2013-04-12,HIIPUSV,accepted
130505,2014-09-09,GT3GT3,accepted
127650,2014-08-07,ERICA30,accepted
45684,2011-12-07,REGSBEAR,accepted
101108,2013-09-11,4MYLRAIN,accepted
86391,2013-03-29,PJAIKIN,accepted
62027,2012-05-15,VTSLATE,accepted
69123,2012-08-02,SMARTEY,accepted
25380,2011-05-11,GJK,accepted
124873,2014-07-05,KORUPTED,accepted
66711,2012-07-04,STAKEOUT,accepted
17907,2011-03-25,EGS44,accepted
68286,2012-07-24,BEDROX,accepted
91232,2013-05-15,3MOOKIES,accepted
128629,2014-08-19,LNJRBA,accepted
106470,2013-11-23,RSNYC,accepted
12816,2011-02-23,DNA4EVA,accepted
111198,2014-02-20,IZHAR,accepted
105459,2013-11-09,EVR1LIES,accepted
48000,2012-01-10,TMWSIY,accepted
36572,2011-08-20,TORRES,accepted
93178,2013-06-06,REMR3,accepted
47917,2012-01-07,CH1CAGO,accepted
102092,2013-09-24,GIMPCAR,accepted
19980,2011-04-06,2L82L8,accepted
68235,2012-07-21,7BLD27,accepted
114821,2014-03-28,NYCPCO,accepted
36961,2011-08-24,JIMBOB69,accepted
86711,2013-04-02,3QUTRS,accepted
32922,2011-07-19,BATPOD,accepted
24175,2011-04-30,39PEPE,accepted
20984,2011-04-12,BOAS,accepted
75203,2012-10-20,UPPER9T,accepted
117128,2014-04-18,DALCWBYS,accepted
121179,2014-05-28,KURD4EVA,accepted
48925,2012-01-20,BEASTM5,accepted
56125,2012-03-24,ITTYBTTY,accepted
15486,2011-03-12,CTF101,accepted
62675,2012-05-19,PATANE,accepted
8048,2010-12-28,VWBUG65,accepted
119027,2014-05-06,DRASJAG,accepted
128116,2014-08-12,RUDEWIFY,accepted
77201,2012-11-27,LUV2SPD,accepted
75145,2012-10-19,DUBBS,accepted
106308,2013-11-22,SOPHY60,accepted
53934,2012-03-09,NTFDAWY,accepted
67973,2012-07-19,HID1025,accepted
101333,2013-09-13,PROGT85,accepted
3596,2010-11-03,GRAMPSX4,accepted
107238,2013-12-07,WISE14,accepted
124403,2014-07-01,THEHEAP,accepted
123198,2014-06-18,JLG5,accepted
56543,2012-03-28,1A88,accepted
98947,2013-08-14,TRIPIME,accepted
79859,2013-01-09,TOP921,accepted
40533,2011-10-05,4T8,accepted
93866,2013-06-14,DRIVE5,accepted
91741,2013-05-21,JDF1933,accepted
94733,2013-06-25,QJQ,accepted
81495,2013-02-02,JUSLIVE,accepted
123157,2014-06-17,PRINZESI,accepted
40194,2011-09-30,JANWOZ,accepted
42697,2011-10-29,LIV2RD,accepted
101660,2013-09-18,SWABI,accepted
49247,2012-01-25,DREEAM,accepted
104427,2013-10-25,GALACTUS,accepted
19199,2011-04-01,80DS23,accepted
103876,2013-10-17,LTHOUSE,accepted
25991,2011-05-14,LOVU4EVR,accepted
40746,2011-10-06,RABKA,accepted
106196,2013-11-21,RRL,accepted
80401,2013-01-16,89L95,accepted
79900,2013-01-09,ROLT1DE,accepted
11416,2011-02-08,VOLT4ME,accepted
113132,2014-03-13,TBVC1,accepted
76564,2012-11-15,PSALM911,accepted
114248,2014-03-22,ONMYOM,accepted
45391,2011-12-03,RASH,accepted
5489,2010-11-25,E777KX77,accepted
78223,2012-12-11,CRUZCTRL,accepted
84529,2013-03-12,REKLSS,accepted
42685,2011-10-29,ABACO,accepted
777,2010-10-07,DOM63,accepted
109392,2014-01-18,JPFO63,accepted
124899,2014-07-08,BBB87,accepted
66653,2012-07-03,NAN1,accepted
124413,2014-07-01,GTRZILA,accepted
13538,2011-03-02,THXGRMPS,accepted
2657,2010-10-26,KAY222,accepted
5002,2010-11-18,PRETTYLD,accepted
21554,2011-04-14,66GT350R,accepted
100719,2013-09-06,MZK1TTY,accepted
6191,2010-12-03,DANBYHAL,accepted
115135,2014-04-01,DNALIGHT,accepted
90074,2013-05-03,POC8SRMT,accepted
6110,2010-12-03,SKYL4RK,accepted
11828,2011-02-12,IRUN9S,accepted
1233,2010-10-13,SEAGAL,accepted
82556,2013-02-18,TOOTS,accepted
84895,2013-03-15,COMM265,accepted
116098,2014-04-09,CDD4755,accepted
49063,2012-01-21,JD27,accepted
75336,2012-10-23,GTARRR,accepted
87785,2013-04-12,BGCHEL,accepted
40339,2011-10-01,JETSWPG,accepted
115378,2014-04-03,WRXSTI,accepted
21691,2011-04-15,BEVTEK,accepted
533,2010-10-06,CISCO,accepted
93141,2013-06-06,JANNAT,accepted
48404,2012-01-13,GRDNWRKS,accepted
43598,2011-11-10,1CAV1,accepted
43866,2011-11-15,FITZY95,accepted
58458,2012-04-12,CG67,accepted
59090,2012-04-19,MCHAIE,accepted
128051,2014-08-12,ITUTAG,accepted
116765,2014-04-15,LASOMBR4,accepted
55812,2012-03-22,RUSHLOST,accepted
50973,2012-02-10,GITA,accepted
99287,2013-08-17,BENHURNY,accepted
58782,2012-04-17,6PGM,accepted
19329,2011-04-01,OLDFOXX,accepted
91473,2013-05-17,PJK,accepted
15885,2011-03-15,M3GAMANN,accepted
114136,2014-03-22,STIC4ZZI,accepted
21101,2011-04-12,ECUAMAN2,accepted
86739,2013-04-02,RJSDAD,accepted
124627,2014-07-03,SNOWPLW9,accepted
70742,2012-08-21,NOXIS,accepted
74132,2012-10-05,CAKECHIK,accepted
48988,2012-01-20,RELBAZ,accepted
48582,2012-01-14,LYNCH1,accepted
113134,2014-03-13,THELAWON,accepted
59790,2012-04-25,USS16,accepted
46947,2011-12-24,DMBK,accepted
106393,2013-11-23,MBNZ1,accepted
122231,2014-06-07,LIVINMAS,accepted
102839,2013-10-03,11GT350,accepted
130496,2014-09-09,GCONSTR,accepted
88593,2013-04-19,GRCYG8TR,accepted
121387,2014-05-30,JOEROS3,accepted
119228,2014-05-07,OLDLADYZ,accepted
37500,2011-08-30,OGESQ,accepted
81836,2013-02-08,MMVIII,accepted
22991,2011-04-23,TS1967,accepted
70296,2012-08-16,LDRDR,accepted
45114,2011-12-01,SVY,accepted
30106,2011-06-18,9MARSHAL,accepted
36918,2011-08-24,SSTONES,accepted
115673,2014-04-05,AVAROE,accepted
110746,2014-02-12,YOPESCO,accepted
13596,2011-03-02,MCBOWDN,accepted
67705,2012-07-17,MPUSMC,accepted
127172,2014-08-01,VIKINGS7,accepted
72378,2012-09-13,4BIDN2,accepted
63249,2012-05-26,FLOTO,accepted
123132,2014-06-17,LOVEMYDG,accepted
52419,2012-02-24,MTGLEADS,accepted
69959,2012-08-11,BYEGONS,accepted
32523,2011-07-14,VJF50,accepted
61350,2012-05-08,68WARWGN,accepted
67187,2012-07-10,KEL,accepted
36711,2011-08-23,NEL31,accepted
27311,2011-05-25,NOHYBRD,accepted
93205,2013-06-07,SHWTYM,accepted
70402,2012-08-17,VIOL8R,accepted
41637,2011-10-18,387PA,accepted
1594,2010-10-15,DIMNDFAB,accepted
64533,2012-06-09,IDRAINO,accepted
74820,2012-10-16,STI2012,accepted
32473,2011-07-13,NOBAMA12,accepted
28011,2011-06-01,Q1ENE4,accepted
73807,2012-10-02,FRANSA3,accepted
50052,2012-02-03,B4SNPR,accepted
4874,2010-11-17,DOLLBUS2,accepted
84180,2013-03-08,MILLIONS,accepted
936,2010-10-08,MARCMLLP,accepted
54544,2012-03-14,BOKKE,accepted
125329,2014-07-11,4GEDABDT,accepted
35528,2011-08-11,SOOCHOW,accepted
71609,2012-09-01,TAC219,accepted
12755,2011-02-23,2TOWRS,accepted
51689,2012-02-16,PUNJABES,accepted
61089,2012-05-05,BWAAAAHH,accepted
17494,2011-03-24,HDWEST,accepted
128603,2014-08-18,JN3VR16,accepted
81706,2013-02-06,NEEQUA,accepted
127093,2014-07-31,PULGOZO,accepted
52825,2012-02-29,BPBDFP,accepted
94731,2013-06-25,669SVC,accepted
95824,2013-07-06,KOBOXER,accepted
72976,2012-09-20,DRMLODGE,accepted
38393,2011-09-10,AM119PM,accepted
68776,2012-07-28,ANDIAMMO,accepted
68095,2012-07-20,4AMMA,accepted
74392,2012-10-10,HKYTXI,accepted
15418,2011-03-12,1DRWMN,accepted
15589,2011-03-15,SXTY12,accepted
58593,2012-04-13,ARIAZI,accepted
40503,2011-10-04,MCTURBO,accepted
27601,2011-05-27,LOVEUMVP,accepted
72909,2012-09-20,GOLF1NG,accepted
66036,2012-06-27,GR8WHT,accepted
116550,2014-04-12,IMLADYE,accepted
119815,2014-05-14,MFFM2,accepted
108886,2014-01-10,REAL2ME,accepted
18127,2011-03-26,EXECUTVE,accepted
37969,2011-09-03,RTAYLOR,accepted
111783,2014-02-27,MQONLITE,accepted
98758,2013-08-13,M35R,accepted
101323,2013-09-13,67MSTNG,accepted
21198,2011-04-13,WLDFIR,accepted
119974,2014-05-15,CACKLER,accepted
120852,2014-05-23,SEBAEDI,accepted
100095,2013-08-28,KALVON08,accepted
56511,2012-03-28,BLAKDOWT,accepted
39680,2011-09-24,JOVELL,accepted
4994,2010-11-18,MIATA2K,accepted
898,2010-10-08,WCHYWMN,accepted
17977,2011-03-26,GRRR8,accepted
50151,2012-02-04,DWHITE,accepted
37791,2011-09-02,17FC,accepted
121420,2014-05-30,RICHOMIE,accepted
120715,2014-05-22,3RDGEN50,accepted
28159,2011-06-02,SATL8DOC,accepted
12320,2011-02-17,BIMMIAN,accepted
125651,2014-07-15,MRATEDZ,accepted
99502,2013-08-21,GEODOC,accepted
126726,2014-07-26,LV4JESUS,accepted
28305,2011-06-03,MRFLAVOR,accepted
44112,2011-11-17,23CHAMP,accepted
48705,2012-01-18,AF1,accepted
93968,2013-06-15,GT911,accepted
45448,2011-12-06,GEN972,accepted
1947,2010-10-19,WIZOFOZ,accepted
17933,2011-03-25,7WB133,accepted
60895,2012-05-04,AMBEASS,accepted
11992,2011-02-15,STMOTO,accepted
104130,2013-10-22,RHEAH,accepted
77191,2012-11-27,JOS1E,accepted
126930,2014-07-30,MDLFCR,accepted
27680,2011-05-28,AERO51,accepted
44936,2011-11-29,1GREYTK9,accepted
24519,2011-05-04,TOJO,accepted
104346,2013-10-24,ASCAMM,accepted
48671,2012-01-16,460RWHP,accepted
38900,2011-09-16,5MINL8,accepted
128668,2014-08-19,EAB4EVER,accepted
29951,2011-06-17,MEHAR,accepted
69459,2012-08-04,SBJ410,accepted
109773,2014-01-25,WIGDENS,accepted
93571,2013-06-11,NICE79,accepted
123690,2014-06-24,UKE11A,accepted
38015,2011-09-05,WRITER44,accepted
109815,2014-01-28,IN2IT,accepted
114721,2014-03-28,BIGRT,accepted
26988,2011-05-21,SAVSMINI,accepted
107581,2013-12-13,SEIZED,accepted
121881,2014-06-05,MCYBDS,accepted
79290,2012-12-29,NYBWLR,accepted
17065,2011-03-22,DADO1,accepted
123702,2014-06-24,AMGCLS,accepted
50191,2012-02-04,GRYMATTR,accepted
27328,2011-05-25,SHINY,accepted
42052,2011-10-21,82VATECH,accepted
108315,2013-12-28,ELELYON,accepted
121140,2014-05-28,S8TRPMOM,accepted
55621,2012-03-22,AARRRR,accepted
91928,2013-05-22,MELTCHA,accepted
129477,2014-08-27,PLOMO,accepted
59589,2012-04-24,79GP51,accepted
30983,2011-06-28,KAHFS,accepted
126548,2014-07-25,N2YME,accepted
106520,2013-11-26,INDYSFJ,accepted
37366,2011-08-27,OPASKA,accepted
131193,2014-09-17,IREM,accepted
73790,2012-10-02,RAU1,accepted
51520,2012-02-15,JACKAL7,accepted
130120,2014-09-04,ME85,accepted
110417,2014-02-06,1LU8,accepted
32211,2011-07-12,CHECHE,accepted
10973,2011-02-02,4PAPI,accepted
73478,2012-09-27,BVB09DO,accepted
6960,2010-12-11,LU1688,accepted
28380,2011-06-04,ANDSON2,accepted
56234,2012-03-27,14FE70,accepted
44096,2011-11-17,VR6WHAT,accepted
113100,2014-03-13,MTR360,accepted
37644,2011-09-01,ALLSTR97,accepted
39964,2011-09-28,HAMAHULA,accepted
45338,2011-12-03,VDUBZZ,accepted
45554,2011-12-06,335ISM,accepted
96149,2013-07-11,ALLFORME,accepted
120292,2014-05-17,MMIINNII,accepted
79340,2013-01-01,BLKKLOUD,accepted
126504,2014-07-24,YOLOA4,accepted
52931,2012-03-01,BADMOMMA,accepted
61054,2012-05-05,FARMACDR,accepted
77155,2012-11-27,BILLYREA,accepted
39181,2011-09-20,19VW61,accepted
89783,2013-05-01,1325BAL,accepted
35704,2011-08-12,1L1F1B,accepted
2040,2010-10-19,SASSI,accepted
100883,2013-09-10,SS1LE,accepted
27341,2011-05-26,XGHAIX,accepted
71244,2012-08-28,PRIME300,accepted
73845,2012-10-02,ZWHOA6,accepted
23524,2011-04-27,LEXZIV,accepted
80430,2013-01-17,SLVRSTLN,accepted
58228,2012-04-11,GOTSS,accepted
117391,2014-04-22,CASEYM,accepted
15618,2011-03-15,VICTRE,accepted
3637,2010-11-03,METALDAD,accepted
55870,2012-03-23,SMURF622,accepted
14449,2011-03-08,TINYWINY,accepted
26979,2011-05-21,RAAWR,accepted
70473,2012-08-17,K3NZIE,accepted
75733,2012-10-27,JCMSVR,accepted
2287,2010-10-21,1FRAMEUP,accepted
41698,2011-10-18,EMILIYA,accepted
126035,2014-07-19,SPELLY,accepted
13052,2011-02-25,TERVBOY,accepted
119667,2014-05-13,84GZ16,accepted
114733,2014-03-28,21FR43,accepted
65136,2012-06-16,USMC929,accepted
64790,2012-06-13,STATIC5,accepted
93763,2013-06-13,ZULATA,accepted
59632,2012-04-24,AFTRASAG,accepted
107697,2013-12-14,LSTCONTI,accepted
10220,2011-01-25,AOH43,accepted
9563,2011-01-15,5555SH,accepted
59613,2012-04-24,CI,accepted
19947,2011-04-05,TOY88,accepted
61854,2012-05-12,TEENALEX,accepted
93091,2013-06-06,MRH,accepted
61689,2012-05-11,ILEGL,accepted
65108,2012-06-16,ALL3YCAT,accepted
63579,2012-05-31,SIMPLMN,accepted
42010,2011-10-21,ILU,accepted
2907,2010-10-27,COMM206,accepted
62786,2012-05-22,HBK8800,accepted
41982,2011-10-21,FCS136,accepted
126829,2014-07-29,FURBECK,accepted
93159,2013-06-06,3FP,accepted
109779,2014-01-25,YE8888,accepted
60017,2012-04-27,FLIP55,accepted
14979,2011-03-10,JMATAD,accepted
13902,2011-03-04,LTTLFAST,accepted
55350,2012-03-20,XAVIER4,accepted
103982,2013-10-18,NURSET67,accepted
131505,2014-09-20,TJP13,accepted
107218,2013-12-07,GT86FRS,accepted
75405,2012-10-23,PRIME280,accepted
123619,2014-06-21,1BAD08S,accepted
11099,2011-02-04,SKIER,accepted
109620,2014-01-23,JUKY,accepted
63117,2012-05-25,AC2IM,accepted
4458,2010-11-11,69CAPO,accepted
13710,2011-03-03,YUR2SLOW,accepted
108363,2013-12-31,BIGCAT,accepted
27982,2011-06-01,2SCQQPS,accepted
97713,2013-07-30,OLDGOAT,accepted
117433,2014-04-22,LSTSON,accepted
24118,2011-04-30,DAHBEAR,accepted
28865,2011-06-08,OPT1GOLF,accepted
9720,2011-01-17,MCDADE,accepted
76131,2012-11-06,RAFFI,accepted
9366,2011-01-13,TSTONE1,accepted
102440,2013-09-28,KGHL30,accepted
47246,2011-12-29,WESTMONE,accepted
4163,2010-11-09,EMYSNANA,accepted
19969,2011-04-06,I420,accepted
523,2010-10-05,SCOTBOY,accepted
92461,2013-05-29,02TYPES,accepted
65087,2012-06-16,JU1CE,accepted
100294,2013-08-30,ROSALBA,accepted
6065,2010-12-02,LOVE045,accepted
19137,2011-03-31,RESULTS,accepted
126496,2014-07-24,HMC,accepted
41682,2011-10-18,ISKYI,accepted
121945,2014-06-05,KAL1MAA,accepted
57583,2012-04-05,JSRJSR,accepted
81750,2013-02-07,SJL58,accepted
9525,2011-01-14,NYLLIV65,accepted
115839,2014-04-08,RUBY,accepted
86564,2013-03-30,MINISURG,accepted
16570,2011-03-18,JOYST1CK,accepted
1668,2010-10-16,4ACES4,accepted
5327,2010-11-23,1RAS,accepted
69458,2012-08-04,ROLON,accepted
63061,2012-05-24,YRUSONOZ,accepted
105832,2013-11-15,STGRAY14,accepted
27157,2011-05-24,MHB200,accepted
52608,2012-02-28,AAP,accepted
124423,2014-07-01,HONYBDGR,accepted
57396,2012-04-04,GERMANY,accepted
23780,2011-04-29,04HOG,accepted
113800,2014-03-19,LUVUBB,accepted
72464,2012-09-13,PEPE5010,accepted
99512,2013-08-21,WLFHWK,accepted
64208,2012-06-07,ERTCCTY1,accepted
46624,2011-12-20,06SICKSO,accepted
66663,2012-07-03,POINT3,accepted
93829,2013-06-14,AE7777,accepted
78497,2012-12-14,MONACOS7,accepted
94827,2013-06-25,LUVABBU,accepted
70660,2012-08-21,LADYD,accepted
45381,2011-12-03,MRMLEE2,accepted
111955,2014-03-01,TRUE63SS,accepted
69658,2012-08-08,THNXGPA,accepted
110324,2014-02-05,AYOMARCO,accepted
114756,2014-03-28,KC2BKN,accepted
79474,2013-01-03,1TREEHL,accepted
124046,2014-06-26,TROYTKD,accepted
28441,2011-06-04,1PHANTOM,accepted
30856,2011-06-27,DJ1956,accepted
27681,2011-05-28,EZYMNY,accepted
112841,2014-03-11,HAUPEI,accepted
52189,2012-02-23,TALAS,accepted
115754,2014-04-05,4DAWUDZ,accepted
48522,2012-01-14,BG4,accepted
19433,2011-04-02,40FL59,accepted
116285,2014-04-10,PLEPLE,accepted
117111,2014-04-18,GTBEAUTY,accepted
117684,2014-04-23,ILVENTO,accepted
122285,2014-06-10,AROMEO,accepted
103943,2013-10-18,CAMARO5,accepted
93996,2013-06-15,JUSTV,accepted
64091,2012-06-06,FACTMAVN,accepted
37917,2011-09-03,JH16318,accepted
11808,2011-02-11,NCISDR,accepted
64518,2012-06-09,UNIQLDY,accepted
79982,2013-01-11,AVBOB,accepted
81055,2013-01-26,MBGL450,accepted
64475,2012-06-09,82NOIF,accepted
9547,2011-01-15,GRMRPR,accepted
100428,2013-09-02,SQACHNTR,accepted
32830,2011-07-16,IESCORTU,accepted
2503,2010-10-23,4MURF,accepted
101411,2013-09-14,USA2JCB,accepted
82085,2013-02-12,BLUEBUNY,accepted
55595,2012-03-21,MYNOTCH,accepted
71985,2012-09-07,CAS300,accepted
73067,2012-09-21,MORELLI4,accepted
72244,2012-09-11,JKE166,accepted
46247,2011-12-14,ECAR4036,accepted
109307,2014-01-17,LUVFRANK,accepted
100377,2013-08-31,DSPERADO,accepted
48090,2012-01-10,37NLB,accepted
108822,2014-01-09,PTMOVE,accepted
126249,2014-07-22,INCHRIST,accepted
62446,2012-05-18,TASTI,accepted
4420,2010-11-11,WICKED33,accepted
35364,2011-08-10,CPFD21,accepted
9854,2011-01-20,AWILDA64,accepted
30541,2011-06-23,UTOG406,accepted
39465,2011-09-23,AC2GE,accepted
23597,2011-04-28,30FC69,accepted
76580,2012-11-16,YTVETT,accepted
105297,2013-11-07,WHOOODAT,accepted
108398,2013-12-31,MD300SL,accepted
68519,2012-07-26,W2HCB,accepted
108063,2013-12-24,FLHR97,accepted
80032,2013-01-11,1TOPCHEF,accepted
14080,2011-03-05,AMTRAC,accepted
47511,2011-12-31,NEWFAITH,accepted
34231,2011-07-30,CMY35FLI,accepted
125304,2014-07-11,HONEYDB,accepted
43403,2011-11-08,GRECO02,accepted
107618,2013-12-13,MRS5453,accepted
85093,2013-03-16,LAXN16,accepted
70554,2012-08-18,BARCA,accepted
128529,2014-08-16,TA4AHKA,accepted
70684,2012-08-21,FPS743,accepted
52277,2012-02-23,2NDTREYL,accepted
125000,2014-07-08,51MERCD,accepted
101646,2013-09-18,MDEVAC,accepted
86509,2013-03-30,HAPPY168,accepted
120505,2014-05-21,DAS15A,accepted
112422,2014-03-06,MYKAFER,accepted
59980,2012-04-26,JOSKAR,accepted
125044,2014-07-09,TAMIKE,accepted
108564,2014-01-03,PRINCESE,accepted
112592,2014-03-08,V4,accepted
46911,2011-12-23,MARLENE,accepted
59995,2012-04-26,LUVNBBAL,accepted
6589,2010-12-08,LUCID2,accepted
68839,2012-07-28,LEICHT5,accepted
91071,2013-05-14,COOPAH,accepted
83484,2013-03-01,VH21,accepted
19043,2011-03-31,BIGVNILA,accepted
90406,2013-05-07,62Z,accepted
85790,2013-03-23,LUVNLIF,accepted
52544,2012-02-25,KAZ2Y5,accepted
22709,2011-04-22,KDAWGG,accepted
116899,2014-04-16,EEVUHH,accepted
36198,2011-08-17,2PUGMOM,accepted
105203,2013-11-06,S1N1ST3R,accepted
45458,2011-12-06,GIZMOJR,accepted
16452,2011-03-18,JAKWGN,accepted
58577,2012-04-13,N1RVANAA,accepted
102123,2013-09-24,JAMSVC44,accepted
26603,2011-05-19,2FATBOYS,accepted
79948,2013-01-10,IGIANTS,accepted
120981,2014-05-24,LITELED,accepted
77031,2012-11-23,OSSITO,accepted
95777,2013-07-06,ATLAS17,accepted
19594,2011-04-02,CSTMCUT,accepted
105711,2013-11-14,USNRN,accepted
25802,2011-05-13,MUMBAI,accepted
4074,2010-11-09,ABCDE767,accepted
11796,2011-02-11,20LP,accepted
51877,2012-02-18,BLKROSES,accepted
35694,2011-08-12,ZMBEHNTR,accepted
67887,2012-07-18,DYN4STY,accepted
17133,2011-03-22,BR1,accepted
112002,2014-03-01,ENVYBRO,accepted
48813,2012-01-19,ANNAH,accepted
5048,2010-11-19,UPSTATE1,accepted
37001,2011-08-24,REGUSA,accepted
126681,2014-07-26,SUBAWUU,accepted
90123,2013-05-04,JKP243,accepted
31710,2011-07-06,USMC361,accepted
26707,2011-05-20,TASH728,accepted
103745,2013-10-16,BCUZV10,accepted
91347,2013-05-16,66BATMAN,accepted
23569,2011-04-27,SCRMNSNK,accepted
81272,2013-01-30,1FLYTL,accepted
97543,2013-07-27,SEVENS,accepted
78136,2012-12-08,N8460907,accepted
107814,2013-12-18,FAISEIF,accepted
49230,2012-01-24,REDNINJA,accepted
130289,2014-09-06,SONG84,accepted
2561,2010-10-23,WJR8,accepted
16608,2011-03-18,RACH01,accepted
118620,2014-05-01,MYELENOR,accepted
88628,2013-04-19,NICK33,accepted
108042,2013-12-21,MOIS600,accepted
60649,2012-05-02,XBULLETX,accepted
45159,2011-12-01,LINUX,accepted
