,outcome
103745,accepted
874,rejected
510,rejected
5,rejected
329,rejected
48408,accepted
15253,accepted
1041,rejected
68275,accepted
649,rejected
65172,accepted
1643,rejected
84047,accepted
606,rejected
106449,accepted
43866,accepted
79340,accepted
287,rejected
91544,accepted
769,rejected
968,rejected
936,rejected
70514,accepted
116550,accepted
728,rejected
4627,accepted
124413,accepted
45222,accepted
859,rejected
1002,rejected
905,rejected
928,rejected
118353,accepted
1542,rejected
993,rejected
1099,rejected
50,rejected
78136,accepted
85436,accepted
73422,accepted
963,rejected
29501,accepted
22023,accepted
1287,rejected
102671,accepted
628,rejected
1446,rejected
1193,rejected
127172,accepted
1001,rejected
205,rejected
77434,accepted
1007,rejected
58458,accepted
114,rejected
450,rejected
40746,accepted
1461,rejected
94827,accepted
70742,accepted
214,rejected
64790,accepted
525,rejected
520,rejected
140,rejected
808,rejected
79037,accepted
83173,accepted
39229,accepted
1487,rejected
105056,accepted
1405,rejected
810,rejected
621,rejected
66663,accepted
80898,accepted
84180,accepted
931,rejected
127567,accepted
741,rejected
379,accepted
31710,accepted
120292,accepted
1003,rejected
608,rejected
117110,accepted
2486,accepted
127948,accepted
121647,accepted
317,rejected
1594,rejected
109299,accepted
5002,accepted
27204,accepted
42193,accepted
953,rejected
129606,accepted
34545,accepted
823,rejected
187,rejected
65318,accepted
92,rejected
396,rejected
44152,accepted
83289,accepted
54078,accepted
130142,accepted
103184,accepted
419,rejected
1424,rejected
60,rejected
14500,accepted
50191,accepted
109392,accepted
122953,accepted
55126,accepted
1381,rejected
82202,accepted
115378,accepted
30476,accepted
21872,accepted
86718,accepted
36362,accepted
828,rejected
52189,accepted
6065,accepted
1358,rejected
60274,accepted
74559,accepted
564,rejected
476,rejected
103876,accepted
589,rejected
1075,rejected
47514,accepted
44936,accepted
22925,accepted
42,rejected
106415,accepted
1157,rejected
19451,accepted
127136,accepted
490,rejected
91818,accepted
1068,rejected
880,rejected
30106,accepted
976,rejected
660,rejected
219,rejected
912,rejected
86971,accepted
1060,rejected
43991,accepted
68358,accepted
71130,accepted
674,rejected
60488,accepted
1322,rejected
88595,accepted
54029,accepted
52523,accepted
101962,accepted
123619,accepted
107814,accepted
123677,accepted
6218,accepted
130744,accepted
80032,accepted
105203,accepted
1021,rejected
75073,accepted
92789,accepted
990,rejected
18417,accepted
927,accepted
55595,accepted
1228,rejected
13538,accepted
115298,accepted
99744,accepted
117918,accepted
76467,accepted
111809,accepted
1297,rejected
53412,accepted
130120,accepted
120074,accepted
97636,accepted
1478,rejected
71227,accepted
33132,accepted
1156,rejected
26979,accepted
123157,accepted
365,rejected
46,rejected
1639,rejected
87672,accepted
65864,accepted
66653,accepted
91473,accepted
114821,accepted
780,rejected
325,rejected
85310,accepted
1146,rejected
255,rejected
324,rejected
499,rejected
71609,accepted
1110,rejected
49902,accepted
120200,accepted
22261,accepted
32922,accepted
537,rejected
28159,accepted
50843,accepted
625,rejected
107393,accepted
122258,accepted
345,rejected
323,rejected
1440,rejected
1947,accepted
110417,accepted
19513,accepted
141,rejected
1512,rejected
834,rejected
60672,accepted
69459,accepted
129566,accepted
5496,accepted
121603,accepted
131430,accepted
593,rejected
77155,accepted
46947,accepted
90362,accepted
833,rejected
34231,accepted
51689,accepted
14509,accepted
45159,accepted
1538,rejected
1351,rejected
17,rejected
429,rejected
85988,accepted
